,pc_1,pc_2,pc_3
0,0.18629072470057043,0.06825216615578988,-0.14388810834057458
1,0.23760382452790152,0.024187554153892843,-0.1180749635366353
2,0.19225080114504256,0.08092021565982255,0.033578055291886844
3,0.2427751732003991,0.11718251655626616,-0.048577395361503184
4,0.19852166757309087,0.10137309035145614,-0.05977835094140699
5,0.18158863867624195,0.08742727934444217,-0.1410786036128575
6,0.2519359274133615,0.010274014049614949,0.17620737555702015
7,0.19790685987762702,-0.013157977858884319,0.20063611062949666
8,0.24835604304763723,-0.04014447016365195,0.1415435681463801
9,0.21321838628859652,-0.011325922397765163,0.20624138875297335
10,0.06063067679689408,-0.24391197057644495,0.25906905097016086
11,0.05606494758916249,-0.13797639845291895,-0.16993880611297119
12,0.03375390302123988,-0.18091781758426018,-0.05846409496463092
13,0.02591365608244045,-0.21059484574311166,-0.10700068089291137
14,0.04431340208664502,-0.2014410743177534,-0.10864998595211871
15,0.046406153907503155,-0.17012564650904968,-0.13115020521975446
16,0.025957142552287035,-0.2693294809723578,0.2396316668009044
17,0.08021565423698841,-0.1136629540603406,-0.14122230392624777
18,0.046116540148708224,-0.17091548715368288,-0.11681004244844229
19,0.05581238904266724,-0.19406760467486675,-0.15172568561801644
20,0.2497175666537048,0.07760177026328204,-0.17109409464485886
21,0.046643282347082926,-0.21266567368141662,-0.08619964446991683
22,0.042038979219195007,-0.1885876582124324,-0.19838361732549437
23,-0.011442625871525685,-0.3010479229768746,0.2187566766700971
24,0.024572522766286502,-0.14615809114506004,-0.11096513286730113
25,0.02953737350689167,-0.2274752565119436,-0.06447898586263043
26,0.21676158634248335,0.11480345648765336,-0.15797736378792748
27,0.22174119787998675,0.06749820030284262,-0.09777544880119189
28,0.08073386094168677,-0.17585527848718419,-0.16627869896484498
29,0.04429989386474816,-0.15830885591823665,-0.12769830516201272
30,0.016987798870172727,-0.053137201337243,-0.07838452255361293
31,0.03314556640494478,-0.22687400535762509,0.22884470770407295
32,0.07891707945707256,-0.2125289505041386,-0.0703671724017528
33,0.18856084183653074,0.1310414216353593,-0.06831648030400453
34,0.22622649083020982,0.09714794246279211,-0.1537641952204904
35,0.17435076741974775,0.08144376757339827,-0.15192200546158835
36,0.02370454747272004,-0.169148127878862,-0.09588741983708353
37,0.024489348111349986,-0.16101864367841398,-0.04303062087103981
38,0.016650064267485384,-0.1323740443324588,-0.10631644870580909
39,0.04018956881397792,-0.18874687288509337,-0.15696367664279265
40,0.07666400836053933,-0.033922721089678864,0.04383059704317642
41,0.2416981129776321,-0.0008041825220622547,0.2400526062849555
42,0.22390552113120155,-0.10208137060651702,0.1727484992297544
43,0.21771053880065777,-0.028839964593872485,0.2274338192975546
44,0.2085751773451543,0.0016208055243023497,0.16970822397514745
